Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Italian(it),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Turkish(tr)
"Dialog.Cengiz_2_1_1",17019719680,"所以我们来了！地铁！伟大的祖灵，我们在这要干什么？","SO WE'RE HERE! THE METRO! WHAT ARE WE GONNA DO HERE, GREAT ANCESTOR SPIRIT?","ALORS ON Y EST ! LE MÉTRO ! ON FAIT QUOI ICI, GRAND ESPRIT DES ANCÊTRES ?","ALSO SIND WIR HIER! DIE U-BAHN! WAS MACHEN WIR HIER, GROSSER AHNENGEIST?","SIAMO QUI! LA METRO! CHE CI FACCIAMO QUI, GRANDE SPIRITO ANTENATO?","ここに来たな！メトロだ！で、偉大なる先祖の霊よ、ここで何をするんだ？","여기 왔다! 지하철이다! 위대한 조상 영혼님, 여기서 뭘 하라는 거지?","JESTEŚMY TU! METRO! I CO MAMY TUTAJ ROBIĆ, WIELKI DUCHU PRZODKÓW?","ENTÃO CHEGAMOS! O METRÔ! O QUE VAMOS FAZER AQUI, GRANDE ESPÍRITO ANCESTRAL?","МЫ ЗДЕСЬ! МЕТРО! ЧТО МЫ ДОЛЖНЫ ЗДЕСЬ ДЕЛАТЬ, ВЕЛИКИЙ ДУХ ПРЕДКОВ?","YA ESTAMOS AQUÍ. EL METRO. ¿QUÉ HAREMOS AHORA, GRAN ESPÍRITU ANCESTRAL?","BURADAYIZ! METRO! PEKİ BURADA NE BOK YAPACAĞIZ, BÜYÜK ATA RUHU?"
"Dialog.Hulagu_2_1_1",433992257536,"好像我会知道一样…你只是因为那个大傻子让你走楼梯，你就走了。我怎么会知道？","LIKE I KNOW… YOU JUST WALK DOWN THE STAIRS BECAUSE BIG STUPID TOLD YOU SO, HOW SHOULD I KNOW?","COMME SI JE SAVAIS… TU DESCENDS L’ESCALIER PARCE QUE LE GRAND IDIOT L’A DIT. COMMENT JE SAURAIS ?","ALS WÜSSTE ICH … DU GEHST DIE TREPPE RUNTER, WEIL DER GROSSE TROTTEL ES GESAGT HAT. WOHER SOLLTE ICH ES WISSEN?","COME SE LO SAPESSI… SCENDI LE SCALE PERCHÉ IL GRANDE IDIOTA TE L’HA DETTO. COME POTREI SAPERLO?","知るかよ…でかいアホが“降りろ”と言ったから降りてるだけだろ。","내가 어떻게 알아… 큰 바보가 내려가라니까 그냥 내려가는 거잖아.","JAK MAM WIEDZIEĆ… SCHODZISZ PO SCHODACH, BO WIELKI DEBIL TAK POWIEDZIAŁ.","JÁ SEI LÁ… TU DESCE AS ESCADAS PORQUE O GRANDÃO BURRO FALOU.","ОТКУДА МНЕ ЗНАТЬ… ТЫ ПРОСТО ИДЁШЬ ВНИЗ, ПОТОМУ ЧТО БОЛЬШОЙ ДУРАК ТАК СКАЗАЛ.","¿CÓMO VOY A SABER? BAJAS LAS ESCALERAS PORQUE EL GRAN IDIOTA TE LO DIJO.","BİLİYORMUŞUM GİBİ… O KOCAMAN MALLA İN DEDİ DİYE İNİYORSUN. BEN NEREDEN BİLEYİM?"
"Dialog.Cengiz_2_1_2",1004119805952,"哦，我还以为你是那个“揍你邻居之旅”的导游！也许我应该坐第一班回家的车？","OH, I THOUGHT YOU WERE THE GUIDE TO THAT “BEAT YOUR NEIGHBOUR” TOUR! MAYBE I SHOULD TAKE THE FIRST TRAIN HOME, SHALL WE?","AH, JE PENSAIS QUE T’ÉTAIS LE GUIDE DE LA VISITE “CASSE TON VOISIN” ! PEUT-ÊTRE QUE JE DEVRAIS PRENDRE LE PREMIER TRAIN POUR RENTRER ?","OH, ICH DACHTE, DU WÄRST DER GUIDE DER “VERPRÜGEL DEINEN NACHBARN”-TOUR! VIELLEICHT SOLLTE ICH DEN ERSTEN ZUG NACH HAUSE NEHMEN?","OH, PENSAVO FOSSI LA GUIDA DEL TOUR “SPACCA IL TUO VICINO”! FORSE DEVO PRENDERE IL PRIMO TRENO PER TORNARE A CASA.","お前が“隣人ぶっ飛ばしツアー”のガイドかと思ってたわ。じゃあ俺は一本目の電車で帰った方がいいか？","아, 너 그 “옆집 패기 투어” 가이드인 줄 알았네. 그럼 첫 기차 타고 집에 갈까?","MYŚLAŁEM, ŻE JESTEŚ PRZEWODNIKIEM TEJ “SKOP SĄSIADA” WYCIECZKI! MOŻE POWINIENEM WZIĄĆ PIERWSZY POCIĄG DO DOMU?","ACHEI QUE TU FOSSE O GUIA DO TOUR “ARREBENTA O VIZINHO”! TALVEZ EU DEVA PEGAR O PRIMEIRO TREM PRA CASA.","Я ДУМАЛ, ТЫ ГИД ТУРА «ОТБЕЙ СОСЕДА»! МОЖЕТ, МНЕ СЕСТЬ НА ПЕРВЫЙ ПОЕЗД ДОМОЙ?","AH, YO CREÍ QUE ERAS EL GUÍA DEL TOUR “ROMPE AL VECINO”. QUIZÁ DEBERÍA TOMAR EL PRIMER TREN A CASA.","AA BEN SENİ O “KOMŞUNU DÖV” TURUNUN REHBERİ SANDIM! HERHALDE İLK TRENLE DEFOLUP GİTMELİYİM, HA?"
"Dialog.Hulagu_2_1_2",1446736318464,"你约了你的悲惨吗？","DO YOU HAVE A DATE WITH YOUR WRETCHEDNESS TO CATCH?","T’AS UN RENDEZ-VOUS AVEC TA MISÈRE OU QUOI ?","HAST DU EIN DATE MIT DEINEM ELEND ODER WAS?","HAI UN APPUNTAMENTO CON LA TUA MISERIA O COSA?","みじめさとデートの約束でもあんのか？","비참함이랑 데이트라도 있냐?","MASZ RANDKĘ ZE SWOJĄ NĘDZĄ CZY CO?","TÁ COM ENCONTRO MARCADO COM A TUA MISÉRIA OU QUÊ?","У ТЕБЯ СВИДАНИЕ С ТВОЕЙ НИЩЕТОЙ ИЛИ ЧТО?","¿TIENES UNA CITA CON TU MISERIA O QUÉ?","SEFİLLİĞİNLE RANDEVUN MU VAR YOKSA?"
"Dialog.Cengiz_2_1_3",2251249963008,"你不是真的，所以我可能撕不下你的嘴，但不代表我不会试试。","I MAY NOT BE ABLE TO RIP YOUR MOUTH OFF YOUR FACE SINCE YOU’RE NOT REAL, BUT THAT DOESN’T MEAN I WON’T TRY.","PEUT-ÊTRE QUE JE PEUX PAS T’ARRACHER LA GUEULE PARCE QUE T’ES PAS RÉEL… MAIS ÇA VEUT PAS DIRE QUE JE VAIS PAS ESSAYER.","ICH KANN DIR DEIN MAUL VIELLEICHT NICHT AUS DEM GESICHT REISSEN, WEIL DU NICHT REAL BIST… ABER DAS HEISST NICHT, DASS ICH ES NICHT VERSUCHE.","FORSE NON POSSO STRAPPARTI LA BOCCA PERCHÉ NON SEI REALE… MA NON SIGNIFICA CHE NON CI PROVI.","お前は実在しねぇから顔から口を引きちぎれねぇかもな…でも試さねぇとは言ってねぇぞ。","네가 진짜가 아니라서 입을 뜯어내진 못하겠지만… 시도는 한다.","MOŻE NIE MOGĘ WYRWAĆ CI MORDY, BO NIE ISTNIEJESZ… ALE TO NIE ZNACZY, ŻE NIE SPRÓBUJĘ.","TU PODE NÃO SER REAL, MAS NÃO QUER DIZER QUE EU NÃO VOU TENTAR ARRANCAR ESSA BOCA AÍ.","МОЖЕТ, ТЫ И НЕ РЕАЛЕН, НО ЭТО НЕ ЗНАЧИТ, ЧТО Я НЕ ПОПРОБУЮ ОТОРВАТЬ ТЕБЕ МОРДУ.","NO SERÁS REAL, PERO NO SIGNIFICA QUE NO INTENTE ARRANCARTE LA BOCA.","GERÇEK DEĞİLSİN DİYE AĞZINI SÖKEMEYEBİLİRİM… AMA BU DENEMEYECEĞİM ANLAMINA GELMEZ."
"Dialog.Hulagu_2_1_3",2746244943872,"这才像话，孩子。去撕几张嘴吧！！走向黑暗，那是蛆虫藏着的地方…","THAT’S THE SPIRIT MY BOY, LET’S GO RIP SOME MOUTHS OUT!! WALK TOWARDS THE DARKNESS, IT’S WHERE THE VERMIN ALWAYS HIDES…","C’EST ÇA L’ESPRIT, MON GARÇON ! ALLONS ARRACHER QUELQUES GUEULES !! AVANCE DANS L’OBSCURITÉ, LÀ OÙ SE CACHENT TOUJOURS LES VERMINS…","DAS IST DER GEIST, MEIN JUNGE! LOS, REISSEN WIR EIN PAAR MÄULER RAUS!! GEH IN DIE DUNKELHEIT, DA VERSTECKT SICH IMMER DAS GESINDEL…","QUESTO È LO SPIRITO, RAGAZZO MIO! ANDIAMO A STRAPPARE QUALCHE BOCCA!! CAMMINA NELL’OSCURITÀ, LÌ SI NASCONDONO SEMPRE I PARASSITI…","それでこそだ、坊主！さあ口でも引きちぎりに行くぞ！！闇へ歩け、害虫どもはいつもあそこに隠れてる…","그렇지, 내 아들! 가서 몇 개 입 뜯자!! 어둠으로 걸어가라. 해충들은 항상 거기 숨는다…","JESTEŚ W NASTROJU, CHŁOPAKU! CHODŹMY WYRYWAĆ MORDY!! IDŹ W CIEMNOŚĆ, TAM ZAWSZE SIEDZI ROBACTWO…","ISSO AÍ, MEU GAROTO! VAMOS ARRANCAR UNSA BOCA POR AÍ!! ANDA PRA ESCURIDÃO, É LÁ QUE A PRAGA SE ESCONDE…","ВОТ ЭТО ДУХ, МАЛЬЧИК! ПОЙДЁМ РВАТЬ МОРДЫ!! ИДИ В ТЕМНОТУ — ТАМ ВСЕГДА ПРЯЧЕТСЯ МЕРЗОТА…","ASÍ SE HABLA, CHICO. ¡VAMOS A ARRANCAR BOCAS! VE A LA OSCURIDAD, AHÍ SE ESCONDEN LOS BICHOS…","İŞTE ARADIĞIM RUH BU OĞLUM! HADİ GİDELİM AĞIZ SÖKELİM!! KARANLIĞA YÜRÜ, HAŞERAT HEP ORADA SAKLANIR…"
"Dialog.Cengiz_2_2_1",3259426426880,"这里还有一个出口，为什么不走这边？","THERE IS ANOTHER EXIT HERE, WHY NOT TAKE THIS ONE OUT?","IL Y A UNE AUTRE SORTIE ICI, POURQUOI ON PREND PAS CELLE-LÀ ?","HIER GIBT ES NOCH EINEN ANDEREN AUSGANG, WARUM NEHMEN WIR NICHT DEN?","C’È UN’ALTRA USCITA QUI, PERCHÉ NON PRENDIAMO QUESTA?","ここにも出口があるぞ。なんでこっちに行かない？","여기 출구가 하나 더 있는데, 왜 이쪽으로 안 가는 거지?","JEST TU JESZCZE JEDNO WYJŚCIE, CZEMU NIE TĘDY?","TEM OUTRA SAÍDA AQUI, POR QUE NÃO VAMOS POR ESSA?","ЗДЕСЬ ЕСТЬ ДРУГОЙ ВЫХОД. ПОЧЕМУ БЫ НЕ ПОЙТИ ТУДА?","AQUÍ HAY OTRA SALIDA, ¿POR QUÉ NO VAMOS POR ESA?","BURADA BAŞKA BİR ÇIKIŞ VAR, NEDEN ORADAN GİTMİYORUZ?"
"Dialog.Hulagu_2_2_1",3503266484224,"你看到那边有能撕嘴的吗？","DO YOU SEE ANY MOUTHS TO RIP OFF IN THAT DIRECTION?","TU VOIS DES GUEULES À ARRACHER PAR LÀ-BAS ?","SIEHST DU DA DRÜBEN IRGENDWELCHE MÄULER ZUM RAUSREISSEN?","DA QUELLA PARTE VEDI BOCCHE DA STRAPPARE?","あっちに引きちぎれそうな口が見えるか？","저쪽에 뜯을 만한 입 하나라도 보이냐?","WIDZISZ TAM JAKIEŚ MORDY DO WYRWANIA?","VÊ ALGUMA BOCA PRA ARRANCAR NAQUELA DIREÇÃO?","ВИДИШЬ ТАМ ХОТЬ ОДНУ МОРДУ, ЧТО МОЖНО ОТОРВАТЬ?","¿VES ALGUNA BOCA PARA ARRANCAR POR ALLÁ?","O TARAFTA SÖKÜLECEK BİR AĞIZ MI GÖRÜYORSUN?"
"Dialog.Cengiz_2_2_2",3719457689600,"到处都有能撕的嘴，为什么不撕那边的？","THERE ARE MOUTHS TO RIP OFF EVERYWHERE, WHY NOT RIP OFF THE ONES ON THAT SIDE?","IL Y EN A PARTOUT DES GUEULES À ARRACHER, POURQUOI PAS CELLES DE CE CÔTÉ-LÀ ?","ÜBERALL GIBT ES MÄULER ZUM RAUSREISSEN, WARUM NICHT DIE DA DRÜBEN?","DI BOCCHE DA STRAPPARE CE NE SONO OVUNQUE, PERCHÉ NON QUELLE LAGGIÙ?","どこにでも口はあるんだ。なんであっちのを引きちぎらない？","입은 어디에나 있어. 그런데 왜 저쪽 것들은 안 뜯는 거지?","PEŁNO TU MORD DO WYRWANIA, CZEMU NIE TAMTE PO DRUGIEJ STRONIE?","TEM BOCA PRA ARRANCAR EM TODO LUGAR, POR QUE NÃO AQUELAS DE LÁ?","ВЕЗДЕ ЕСТЬ МОРДЫ ДЛЯ ОТОРВАНИЯ. ПОЧЕМУ НЕ ТЕ, ЧТО ТАМ?","HAY BOCAS POR TODAS PARTES, ¿POR QUÉ NO LAS DE ALLÁ?","HER YERDE SÖKÜLECEK AĞIZ VAR, NEDEN O TARAFTAKİLERİ SÖKMÜYORUZ?"
"Dialog.Hulagu_2_2_3",4002795507712,"因为每张嘴都有轮到它的时候。孩子，有一张特别的嘴在等你。","BECAUSE MY SON, EVERY MOUTH GETS ITS TURN. AND THERE IS A SPECIAL MOUTH FOR YOU WAITING.","PARCE QUE CHAQUE GUEULE A SON TOUR, MON GARÇON. ET IL Y EN A UNE SPÉCIALE QUI T’ATTEND.","JEDE FRESSE HAT IHREN MOMENT, MEIN JUNGE. UND EINE GANZ BESONDERE WARTET AUF DICH.","PERCHÉ OGNI BOCCA HA IL SUO TURNO, RAGAZZO. E CE N’È UNA SPECIALE CHE TI ASPETTA.","どの口にも順番があるんだよ、坊主。お前を待ってる特別なのがある。","아들아, 모든 입엔 차례가 있어. 그리고 네 차례를 기다리는 특별한 입이 있다.","KAŻDA MORDa MA SWOJĄ KOLEJ, SYNKU. A JEST TAM JEDNA SPECJALNA CZEKAJĄCA NA CIEBIE.","CADA BOCA TEM SUA VEZ, MEU GAROTO. E TEM UMA ESPECIAL TE ESPERANDO.","У КАЖДОЙ МОРДЫ ЕСТЬ СВОЙ ЧЕРЁД, СЫН. И ЕСТЬ ОДНА ОСОБЕННАЯ, ЖДУЩАЯ ТЕБЯ.","CADA BOCA TIENE SU MOMENTO, CHICO. Y HAY UNA ESPECIAL ESPERÁNDOTE.","OĞLUM, HER AĞZIN BİR SIRASI VAR. VE SENİ BEKLEYEN ÖZEL BİR AĞIZ VAR."
